[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.73, 8.0, 7.73, -7.73, -8.0, -7.73] [-2.07, 0.0, 2.07, 2.07, -0.0, -2.07]
[7.25, 8.0, 7.73, -7.73, -8.0, -7.73] [-1.94, 0.0, 2.07, 2.07, -0.0, -2.07]
[6.38, 8.0, 7.34, -6.84, -8.0, -7.73] [-1.71, 0.0, 2.0, 1.97, -0.0, -2.07]
[5.41, 7.4, 6.34, -5.84, -7.0, -6.94] [-1.45, -0.06, 1.89, 1.92, 0.0, -2.0]
[4.35, 6.42, 5.26, -4.74, -6.0, -5.94] [-1.16, -0.22, 1.72, 1.86, 0.0, -2.05]
[3.38, 5.33, 4.28, -3.74, -4.9, -4.84] [-0.91, -0.11, 1.51, 1.81, 0.0, -2.11]
[2.42, 4.35, 3.3, -2.74, -3.9, -3.84] [-0.65, -0.26, 1.31, 1.76, 0.0, -2.16]
[1.45, 3.38, 2.34, -1.75, -2.9, -2.84] [-0.39, -0.52, 1.05, 1.7, 0.0, -2.22]
[0.49, 2.51, 1.34, -0.85, -1.9, -1.94] [-0.13, -0.75, 0.96, 1.66, 0.0, -2.26]
[-0.2, 1.47, 0.6, 0.25, -1.1, -0.85] [0.01, -1.11, 0.95, 1.67, 0.04, -2.24]
[-0.34, 0.71, 0.21, 1.01, -1.1, 0.05] [0.27, -1.33, 0.88, 2.14, 0.04, -2.2]
[-0.32, -0.11, 0.21, 1.99, -0.83, 1.03] [1.2, -1.13, 0.88, 2.26, -0.71, -2.38]
[-0.07, -0.74, 0.15, 2.89, -0.85, 1.93] [2.06, -1.39, 1.17, 2.26, -0.91, -2.39]
[-0.3, -1.57, -0.39, 3.99, -7.5, 3.03] [3.13, -2.05, 2.06, 2.26, 0.04, -2.38]
[-0.9, -2.47, -1.26, 4.89, -6.62, 3.93] [3.79, -2.09, 2.09, 2.26, 0.22, -2.29]
[-1.83, -3.47, -2.11, 5.89, -5.64, 4.92] [4.12, -2.09, 1.57, 2.26, 0.43, -2.18]
[-2.8, -4.46, -2.88, 6.49, -4.66, 5.91] [3.94, -1.96, 0.93, 2.25, 0.61, -2.03]
[-3.65, -5.42, -3.37, 6.49, -3.88, 6.41] [3.42, -1.69, 0.09, 2.25, 0.72, -1.99]
[-4.59, -6.4, -3.48, 6.49, -2.99, 6.41] [2.84, -1.19, -0.98, 2.25, 1.34, -1.99]
[-5.05, -7.05, -4.2, 6.49, -2.1, 6.41] [2.69, -0.58, -1.5, 2.25, 1.34, -1.99]
[-5.84, -7.57, -5.01, 6.49, -1.1, 6.41] [3.1, -0.28, -1.7, 2.25, 1.26, -1.99]
[-6.69, -7.57, -5.88, 6.49, -0.2, 6.41] [2.92, -0.28, -1.48, 2.25, 1.18, -1.99]
[-6.99, -7.57, -6.66, 6.49, 0.89, 6.41] [2.53, -0.28, -1.6, 2.25, 1.09, -1.99]
[-6.99, -7.57, -6.66, 6.49, 1.89, 6.41] [2.53, -0.28, -1.6, 2.25, 1.01, -1.99]
[-6.99, -7.57, -6.66, 6.49, 2.89, 6.41] [2.53, -0.28, -1.6, 2.25, 0.92, -1.99]
[-6.99, -7.57, -6.66, 6.49, 3.88, 6.41] [2.53, -0.28, -1.6, 2.25, 0.84, -1.99]
[-6.99, -7.57, -6.66, 6.49, 4.77, 6.41] [2.53, -0.28, -1.6, 2.25, 0.71, -1.99]
[-6.99, -7.57, -6.66, 6.49, 5.85, 6.41] [2.53, -0.28, -1.6, 2.25, 0.5, -1.99]
[-6.99, -7.57, -6.66, 6.49, 6.64, 6.41] [2.53, -0.28, -1.6, 2.25, 0.35, -1.99]
[-6.99, -7.57, -6.66, 6.49, 7.52, 6.41] [2.53, -0.28, -1.6, 2.25, 0.18, -1.99]
[-6.99, -7.57, -6.66, 6.49, 7.52, 6.41] [2.53, -0.28, -1.6, 2.25, 0.18, -1.99]
[-6.99, -7.57, -6.66, 6.49, 7.52, 6.41] [2.53, -0.28, -1.6, 2.25, 0.18, -1.99]
